,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Total Sugars,Includes Added Sugars,Protein,Serving Size
Overnight Apples 'N' Oats (6 fl oz),130,1 g,0 g,0 g,0 mg,25 mg,26 g,2 g,17 g,5 g,7 g,Serving Size 4 fl oz
Cantaloupe ( 1/2 cup),25,0 g,0 g,0 g,0 mg,10 mg,6 g,less than 1 g,6 g,g,1 g,Serving Size 1 /2 cup
Diced Pineapple ( 1/4 cup),25,0 g,0 g,0 g,0 mg,0 mg,7 g,less than 1 g,5 g,g,0 g,Serving Size 1 /4 cup
Red Grapes ( 1/4 cup),30,0 g,0 g,0 g,0 mg,0 mg,8 g,0 g,7 g,g,0 g,Serving Size 1 /4 cup
Cottage Cheese ( 1/4 cup),45,1 g,0.5 g,0 g,5 mg,170 mg,3 g,0 g,2 g,less than 1 g,7 g,Serving Size 1 /4 cup
Cottage Cheese (1 ozw),25,0 g,0 g,0 g,less than 5 mg,85 mg,2 g,0 g,1 g,0 g,3 g,Serving Size 1 ozw
,120,9 g,4.5 g,0 g,20 mg,170 mg,6 g,0 g,3 g,0 g,4 g,Serving Size 2 fl oz
Pork Sausage Patty,180,18 g,6 g,0 g,30 mg,170 mg,less than 1 g,0 g,0 g,0 g,5 g,Serving Size 1 patty
Turkey Bacon,60,5 g,1 g,0 g,20 mg,130 mg,less than 1 g,0 g,less than 1 g,less than 1 g,4 g,Serving Size 2 slice
Grits (6 fl oz),90,0 g,0 g,0 g,0 mg,75 mg,21 g,1 g,0 g,0 g,2 g,Serving Size 6 fl oz
Oatmeal (6 fl oz),120,2.5 g,0 g,0 g,0 mg,5 mg,23 g,3 g,0 g,0 g,5 g,Serving Size 6 fl oz
Scrambled Eggs,140,9 g,3 g,0 g,340 mg,130 mg,0 g,0 g,0 g,0 g,12 g,Serving Size 1 /2 cup
Home Fries,140,4.5 g,0.5 g,0 g,0 mg,140 mg,24 g,2 g,2 g,0 g,2 g,Serving Size 1 /2 cup
Spiced Breakfast Quinoa (6 fl oz),170,3 g,0 g,0 g,0 mg,70 mg,29 g,3 g,6 g,less than 1 g,6 g,Serving Size 4 fl oz
JustÂ® Scrambled Eggs,140,10 g,1 g,0 g,0 mg,380 mg,2 g,0 g,0 g,0 g,12 g,Serving Size 1 /2 cup
Smashed Avocado Toast,230,8 g,1.5 g,0 g,0 mg,370 mg,33 g,5 g,5 g,5 g,6 g,Serving Size 1 each
Blueberry Mini Muffin,80,2 g,1 g,0 g,0 mg,120 mg,15 g,0 g,8 g,7 g,1 g,Serving Size 1 muffin
Whole Grain Banana Mini Muffin,70,3 g,1.5 g,0 g,0 mg,125 mg,12 g,0 g,5 g,0 g,1 g,Serving Size 1 muffin
Cranberry Orange Muffin,60,0.5 g,0 g,0 g,10 mg,125 mg,14 g,0 g,8 g,0 g,1 g,Serving Size 1 muffin
Iced Cinnamon Roll,220,10 g,5 g,0 g,less than 5 mg,230 mg,28 g,less than 1 g,15 g,14 g,3 g,Serving Size 1 roll
Chopped Fresh Spinach ( 1/4 cup),0,0 g,0 g,0 g,0 mg,5 mg,0 g,0 g,0 g,g,0 g,Serving Size 1 /4 cup
Sliced Mushrooms ( 1/4 cup),0,0 g,0 g,0 g,0 mg,0 mg,less than 1 g,0 g,0 g,g,1 g,Serving Size 1 /4 cup
Shredded Cheddar Cheese (1 tablespoon),30,2.5 g,1.5 g,0 g,5 mg,45 mg,0 g,0 g,0 g,0 g,2 g,Serving Size 1 tablespoon
Shredded Cheddar Cheese (2 tablespoon),60,4.5 g,2.5 g,0 g,15 mg,90 mg,0 g,0 g,0 g,0 g,3 g,Serving Size 2 tablespoon
Bacon,110,9 g,3 g,0 g,25 mg,360 mg,less than 1 g,0 g,less than 1 g,less than 1 g,7 g,Serving Size 2 slice
Chocolate Chip Muffin,390,18 g,11 g,0 g,0 mg,200 mg,45 g,4 g,34 g,9 g,3 g,Serving Size 1 muffin
Scrambled Chick Pea,80,1 g,0 g,0 g,0 mg,400 mg,13 g,4 g,2 g,0 g,4 g,Serving Size 1 /2 cup
Baked Potato Wedges,80,2.5 g,0 g,0 g,0 mg,85 mg,14 g,1 g,0 g,0 g,2 g,Serving Size 4 wedge
Southern Biscuit,260,12 g,7 g,0 g,0 mg,840 mg,35 g,less than 1 g,3 g,2 g,5 g,Serving Size 1 each
Bananas Foster French Toast,440,16 g,9 g,0 g,155 mg,290 mg,63 g,1 g,36 g,3 g,10 g,Serving Size 1 serving
